2025-05-05 19:37:36,885 INFO    StreamThr :36005 [internal.py:wandb_internal():86] W&B internal server running at pid: 36005, started at: 2025-05-05 19:37:36.885054
2025-05-05 19:37:36,887 DEBUG   HandlerThread:36005 [handler.py:handle_request():146] handle_request: status
2025-05-05 19:37:36,888 INFO    WriterThread:36005 [datastore.py:open_for_write():87] open: /home/patrick/Documents/simpleDreamer/wandb/run-20250505_193736-hfb0wfw7/run-hfb0wfw7.wandb
2025-05-05 19:37:36,890 DEBUG   SenderThread:36005 [sender.py:send():379] send: header
2025-05-05 19:37:36,891 DEBUG   SenderThread:36005 [sender.py:send():379] send: run
2025-05-05 19:37:37,179 INFO    SenderThread:36005 [dir_watcher.py:__init__():211] watching files in: /home/patrick/Documents/simpleDreamer/wandb/run-20250505_193736-hfb0wfw7/files
2025-05-05 19:37:37,179 INFO    SenderThread:36005 [sender.py:_start_run_threads():1124] run started: hfb0wfw7 with start time 1746488256.884751
2025-05-05 19:37:37,187 DEBUG   HandlerThread:36005 [handler.py:handle_request():146] handle_request: check_version
2025-05-05 19:37:37,187 DEBUG   SenderThread:36005 [sender.py:send_request():406] send_request: check_version
2025-05-05 19:37:37,302 DEBUG   HandlerThread:36005 [handler.py:handle_request():146] handle_request: run_start
2025-05-05 19:37:37,312 DEBUG   HandlerThread:36005 [system_info.py:__init__():26] System info init
2025-05-05 19:37:37,312 DEBUG   HandlerThread:36005 [system_info.py:__init__():41] System info init done
2025-05-05 19:37:37,312 INFO    HandlerThread:36005 [system_monitor.py:start():194] Starting system monitor
2025-05-05 19:37:37,312 INFO    SystemMonitor:36005 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-05-05 19:37:37,313 INFO    HandlerThread:36005 [system_monitor.py:probe():214] Collecting system info
2025-05-05 19:37:37,313 INFO    SystemMonitor:36005 [interfaces.py:start():190] Started cpu monitoring
2025-05-05 19:37:37,314 INFO    SystemMonitor:36005 [interfaces.py:start():190] Started disk monitoring
2025-05-05 19:37:37,314 INFO    SystemMonitor:36005 [interfaces.py:start():190] Started gpu monitoring
2025-05-05 19:37:37,314 INFO    SystemMonitor:36005 [interfaces.py:start():190] Started memory monitoring
2025-05-05 19:37:37,315 INFO    SystemMonitor:36005 [interfaces.py:start():190] Started network monitoring
